"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
0,0.64,0.5311,0.0115999999999995,0.32,0,0,0,0,0,0,0.64,0,0,0,0.439933333333334,0,1.29,1.93,0.0461,0.96,0,0,0,0,0,0,0,0,-2.11497486191092e-16,-5.94524429686771e-16,0,0,0,0,0,0,-2.0417695312247e-17,0,0,0,0,0,0,0,0,0,0,0.00376999999999998,0,0,0.71424,0,0,3.756,61,278
0.21,0.28,0.5,0.3546,0.14,0.28,0.21,0.1815,0,0.94,0.2253,0.9449,0.65,0.21,0.0587,0.14,0.07,0.28,2.7734,0,1.59,0.128,0.2574,0.43,0,0,0.0017999999999989,0,0,0,0,-4.8468173918792e-16,0,-5.21735432634784e-16,0,0,0.07,0,0,0,0,-2.55906407176099e-16,0.00539999999999996,0.0012,0,0,0,0,0,0.132,0,0.49847,0.18,0.0504,5.114,101,1028
0.06,0,0.71,0,1.23,0.19,0.19,0.12,0.64,0.25,0.38,0.631300000000001,0.12,0,1.75,0.06,0.06,1.03,1.36,0.2581,0.51,0,0.6807,0.06,0,0.00649999999999991,0,0.0116999999999997,0,0,0,0,0.0222,0,0,0,0.0988,0,0,0.06,0.00679999999999997,0,0.12,0,0.0829,0.06,0,0,0.01,0.143,0,0.276,0.184,0.01,9.821,485,2259
0,0,0.3925,0,0.6684,0.2592,0.31,0.63,0.31,0.63,0.31,0.31,0.0828,0,0,0.31,0,0.2686,3.18,0.198,0.31,0,0.0956,0,0,0,-1.22901688826005e-15,0,0,0,0,-6.29080121328229e-16,0,0,0.00169999999999994,0,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,0.137,0,0.34899,0.07542,0,3.26019,40,191
0,0,0.348,-2.47857290247566e-16,0.63,0,0.31,0.1344,0.31,0.63,0.31,0.31,0.31,0,0.0409,0.31,0,0,3.18,0,1.5485,0.1218,0.092,0.1963,0,0,-1.10134124042816e-15,0,0,0,-5.52613510507172e-16,0,0.000499999999999885,0,0,0,0.0227999999999999,0,0,0,0,0,0,0,0.0797,0,-1.45976980503448e-17,0,0.00324999999999998,0.135,0,0.135,0,0.01015,3.537,40,191
0.0368,0,0,0,1.85,0,0.2072,1.85,0,0,0,0,0.0664,0.1041,0,0,0.2361,0,0,0.0837,0,0,0,0,0,0,0,0,0.036,0.0320999999999999,-4.29656310529936e-16,-5.4976856400657e-16,0.3393,0,0,0,0.0257999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.11373,0,0,0.11634,0,3,15,54
0,0,0.28845,0,1.92,0,0.375,0,0,0.64,0.96,1.28,0,0,0,0.96,0,0.32,3.85,0,0.64,0,0,0,0,0,0,0,-1.0394463068053e-16,0,0,-5.88834536685567e-16,0,0,-6.16173778666962e-17,0,0,0,0,0,-6.07153216591882e-17,0,0,0,0,0,0,0.00299999999999989,0.00562999999999997,0.054,0,0.164,0.054,0.01242,1.671,4,112
0,0,0,0,1.88,0,0,1.88,0.00809999999999998,0,0.0271,0,0,0,0.0113999999999999,0,0,0.0416999999999999,0,0,0.2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459999999999996,0,0.00309999999999992,0,0,0,-3.04270497686332e-17,0.00369999999999992,0,0.206,0,0,0,0.020474,2.45,12.95,49
0.15,0,0.46,0,0.61,0,0.3,0,0.92,0.76,0.76,0.92,0,0,0.17815,0.7172,0.618,0.15,1.23,3.53,2,0,0,0.15,0.1967,0,0.0170999999999993,0,0,0,0,0,0.15,0,0,0,0.112,0,0,0,0,0,0.0133,0.0063,0,0,0,0,0,0.271,0,0.181,0.203,0.141,9.744,445,1257
0.06,0.12,0.498,0,0.19,0.32,0.38,0,0.1041,0,0.0987,0.4697,0.25,0,0.12,0,0.1521,0.2747,1.67,0.1134,0.932200000000001,0.1013,0.19,0,0,0,0.011399999999999,0,0,-1.72917236085368e-16,0,-5.59829960167235e-16,0.0346999999999999,0,0,0,0,0,0.00599999999999995,0,0,0,0,0.06,0.037,0,0,0,0.04,0.03,0,0.244,0.081,0,1.729,43,749
0,0,0.5023,0.0732999999999996,0,0,0.96,0.2446,0.0693,1.92,0.96,0,0,0,0.1223,0.9157,0,0.96,3.84,0,0.96,0,0,0,0.0258999999999997,0,0,-5.0709436649754e-16,0.0220999999999999,0,0,0,0,0,0,0,0,0,0,0.0613,0.051,0.0301999999999998,0,0,0,0,0,0.0595999999999999,0,0,0,0.462,0,0.03727,2.71651,6,21
